"route_short_name";"trip_id";"arrival_time";"departure_time";"stop_id";"stop_sequence";"pickup_type";"drop_off_type"
"M1";113643520238752496;"20:56:00";"20:56:00";"2913";2;0;0
"M1";113643520238752496;"20:56:52";"20:56:52";"1639";3;0;0
"M1";113643520238752496;"20:58:17";"20:58:17";"1640B";4;0;0
"M1";113643520238752496;"21:01:00";"21:01:00";"1382";5;0;0
"M1";113643521238752496;"20:58:00";"20:58:00";"7832";1;0;0
"M1";113643521238752496;"21:01:00";"21:01:00";"2913";2;0;0
"M1";113643521238752496;"21:01:52";"21:01:52";"1639";3;0;0
"M1";113643521238752496;"21:03:17";"21:03:17";"1640B";4;0;0
"M1";113643521238752496;"21:06:00";"21:06:00";"1382";5;0;0
"M1";113643522238752496;"21:03:00";"21:03:00";"7832";1;0;0
"M1";113643522238752496;"21:06:00";"21:06:00";"2913";2;0;0
"M1";113643522238752496;"21:06:52";"21:06:52";"1639";3;0;0
"M1";113643522238752496;"21:08:17";"21:08:17";"1640B";4;0;0
"M1";113643522238752496;"21:11:00";"21:11:00";"1382";5;0;0
"M1";113643523238752496;"21:08:00";"21:08:00";"7832";1;0;0
"M1";113643523238752496;"21:11:00";"21:11:00";"2913";2;0;0
"M1";113643523238752496;"21:11:52";"21:11:52";"1639";3;0;0
"M1";113643523238752496;"21:13:17";"21:13:17";"1640B";4;0;0
"M1";113643523238752496;"21:16:00";"21:16:00";"1382";5;0;0
"M1";113643524238752496;"21:13:00";"21:13:00";"7832";1;0;0
"M1";113643524238752496;"21:16:00";"21:16:00";"2913";2;0;0
"M1";113643524238752496;"21:16:52";"21:16:52";"1639";3;0;0
"M1";113643524238752496;"21:18:17";"21:18:17";"1640B";4;0;0
"M1";113643524238752496;"21:21:00";"21:21:00";"1382";5;0;0
"M1";113643525238752496;"21:18:00";"21:18:00";"7832";1;0;0
"M1";113643525238752496;"21:21:00";"21:21:00";"2913";2;0;0
"M1";113643525238752496;"21:21:52";"21:21:52";"1639";3;0;0
"M1";113643525238752496;"21:23:17";"21:23:17";"1640B";4;0;0
"M1";113643525238752496;"21:26:00";"21:26:00";"1382";5;0;0
"M1";113643526238752496;"21:23:00";"21:23:00";"7832";1;0;0
"M1";113643526238752496;"21:26:00";"21:26:00";"2913";2;0;0
"M1";113643526238752496;"21:26:52";"21:26:52";"1639";3;0;0
"M1";113643526238752496;"21:28:17";"21:28:17";"1640B";4;0;0
"M1";113643526238752496;"21:31:00";"21:31:00";"1382";5;0;0
"M1";113643527238752496;"21:28:00";"21:28:00";"7832";1;0;0
"M1";113643527238752496;"21:31:00";"21:31:00";"2913";2;0;0
"M1";113643527238752496;"21:31:52";"21:31:52";"1639";3;0;0
"M1";113643527238752496;"21:33:17";"21:33:17";"1640B";4;0;0
"M1";113643527238752496;"21:36:00";"21:36:00";"1382";5;0;0
"M1";113643528238752496;"21:33:00";"21:33:00";"7832";1;0;0
"M1";113643528238752496;"21:36:00";"21:36:00";"2913";2;0;0
"M1";113643528238752496;"21:36:52";"21:36:52";"1639";3;0;0
"M1";113643528238752496;"21:38:17";"21:38:17";"1640B";4;0;0
"M1";113643528238752496;"21:41:00";"21:41:00";"1382";5;0;0
"M1";113643529238752496;"21:38:00";"21:38:00";"7832";1;0;0
"M1";113643529238752496;"21:41:00";"21:41:00";"2913";2;0;0
"M1";113643529238752496;"21:41:52";"21:41:52";"1639";3;0;0
"M1";113643529238752496;"21:43:17";"21:43:17";"1640B";4;0;0
"M1";113643529238752496;"21:46:00";"21:46:00";"1382";5;0;0
"M1";113643530238752496;"21:43:00";"21:43:00";"7832";1;0;0
"M1";113643530238752496;"21:46:00";"21:46:00";"2913";2;0;0
"M1";113643530238752496;"21:46:52";"21:46:52";"1639";3;0;0
"M1";113643530238752496;"21:48:17";"21:48:17";"1640B";4;0;0
"M1";113643530238752496;"21:51:00";"21:51:00";"1382";5;0;0
"M1";113643531238752496;"21:48:00";"21:48:00";"7832";1;0;0
"M1";113643531238752496;"21:51:00";"21:51:00";"2913";2;0;0
"M1";113643531238752496;"21:51:52";"21:51:52";"1639";3;0;0
"M1";113643531238752496;"21:53:17";"21:53:17";"1640B";4;0;0
"M1";113643531238752496;"21:56:00";"21:56:00";"1382";5;0;0
"M1";113643532238752496;"21:53:00";"21:53:00";"7832";1;0;0
"M1";113643532238752496;"21:56:00";"21:56:00";"2913";2;0;0
"M1";113643532238752496;"21:56:52";"21:56:52";"1639";3;0;0
"M1";113643532238752496;"21:58:17";"21:58:17";"1640B";4;0;0
"M1";113643532238752496;"22:01:00";"22:01:00";"1382";5;0;0
"M1";113643533238752496;"21:58:00";"21:58:00";"7832";1;0;0
"M1";113643533238752496;"22:01:00";"22:01:00";"2913";2;0;0
"M1";113643533238752496;"22:01:52";"22:01:52";"1639";3;0;0
"M1";113643533238752496;"22:03:17";"22:03:17";"1640B";4;0;0
"M1";113643533238752496;"22:06:00";"22:06:00";"1382";5;0;0
"M1";113643534238752496;"22:03:00";"22:03:00";"7832";1;0;0
"M1";113643534238752496;"22:06:00";"22:06:00";"2913";2;0;0
"M1";113643534238752496;"22:06:52";"22:06:52";"1639";3;0;0
"M1";113643534238752496;"22:08:17";"22:08:17";"1640B";4;0;0
"M1";113643534238752496;"22:11:00";"22:11:00";"1382";5;0;0
"M1";113643535238752496;"22:08:00";"22:08:00";"7832";1;0;0
"M1";113643535238752496;"22:11:00";"22:11:00";"2913";2;0;0
"M1";113643535238752496;"22:11:52";"22:11:52";"1639";3;0;0
"M1";113643535238752496;"22:13:17";"22:13:17";"1640B";4;0;0
"M1";113643535238752496;"22:16:00";"22:16:00";"1382";5;0;0
"M1";113643536238752496;"22:13:00";"22:13:00";"7832";1;0;0
"M1";113643536238752496;"22:16:00";"22:16:00";"2913";2;0;0
"M1";113643536238752496;"22:16:52";"22:16:52";"1639";3;0;0
