"Line","Variance","From","To","Speed Average"
7,0,"3480","5264F",12.310783641756432
7,0,"5264F","5261",16.61073921509723
7,0,"5261","5265F",18.06037559367562
7,0,"5265F","5267",16.142351217927523
7,0,"5267","5352",18.93901035784849
7,0,"5352","0906",20.292133600208057
7,0,"0906","0806",24.955808791535283
7,0,"0806","0816",26.853471584738553
7,0,"0816","0826",22.147126462587952
7,0,"0826","2243F",12.970309126024414
7,0,"2243F","5354H",14.248356883865755
7,0,"5354H","5355",21.855361083309717
7,0,"5355","5356",20.063602419600105
7,0,"5356","5357",15.091542883884761
7,0,"5357","5350G",17.550331394560356
7,0,"5350G","5359",17.417573873305486
7,0,"5359","6456F",14.372953352291864
7,0,"6456F","5759F",15.13613574783069
7,0,"5759F","5770F",16.504138273177787
7,0,"5770F","5771",20.198992235120404
7,0,"5771","5772",22.603477242124608
7,0,"5772","5773",18.561105473226
7,0,"5773","5806",21.472593274787762
7,0,"5806","2635F",20.128404537151606
7,0,"2635F","9051F",30.35268592868242
7,1,"9056F","2636F",18.732300245311972
7,1,"2636F","5700G",17.221337774206148
7,1,"5700G","5704F",22.23005713552338
7,1,"5704F","5705",23.14083634647416
7,1,"5705","5706",20.465366135378652
7,1,"5706","5707",11.755738710842316
7,1,"5707","5758F",3.673053366149427
7,1,"5758F","6457F",13.210659788684486
7,1,"6457F","5303",17.808432086303103
7,1,"5303","5317G",18.74238457827936
7,1,"5317G","5305G",15.962867170953842
7,1,"5305G","5306G",17.440266208157272
7,1,"5306G","5307G",17.86472573049025
7,1,"5307G","5308F",10.234394089684214
7,1,"5308F","2246F",15.400252087289427
7,1,"2246F","0821",24.195330960834983
7,1,"0821","0811",26.729672626717146
7,1,"0811","0801",22.94035640472031
7,1,"0801","0901",21.218923389139984
7,1,"0901","5312",15.782606933539446
7,1,"5312","5311",17.94228915344443
7,1,"5311","5266F",16.804570986192758
7,1,"5266F","5205",15.392825446699742
7,1,"5205","5200F",10.797270755501675
7,1,"5200F","3481",6.390737294658172
7,1,"3481","5208",12.96760531670575
7,1,"5208","1049F",12.769312848505951
7,1,"1049F","5210",13.60708473657133
7,1,"5210","5211",15.076815687753967
7,1,"5211","5212",17.86279297507933
7,1,"5212","5213",14.90444291196538
7,1,"5213","5220F",7.1740681493707985
7,1,"5220F","9969F",7.805250119816265
7,1,"9969F","5219F",
7,1,"5219F","6421F",
8,0,"6314","5405",15.72307494047316
8,0,"5405","5406",12.898959004099805
8,0,"5406","5404",13.654572390362523
8,0,"5404","5408",17.06502752391883
8,0,"5408","5409",12.821102674139564
8,0,"5409","1047F",11.116212599419576
8,0,"1047F","5258",9.434356860369986
8,0,"5258","2397F",13.830627823852076
8,0,"2397F","5407F",17.758349194758836
8,0,"5407F","5413F",18.504431422518465
8,0,"5413F","5414F",19.162301354759713
8,0,"5414F","5415F",17.873306668743783
8,0,"5415F","5416F",14.053028544249488
8,0,"5416F","5418",18.164125096987014
8,0,"5418","5419",17.217900567095235
8,0,"5419","5420F",19.407316553683593
8,0,"5420F","5421",19.624843883722672
8,0,"5421","5422",16.84908980790559
8,0,"5422","5423",21.357785137383647
8,0,"5423","2077",22.569132130860016
8,0,"2077","2086",17.865863887092523
8,0,"2086","5426",14.33532576315686
8,0,"5426","5269F",19.366462922675293
8,0,"5269F","5270F",23.14540291558386
8,0,"5270F","5271F",20.682159606661056
8,0,"5271F","5272F",15.71599016504579
8,0,"5272F","5223F",17.86691769539822
8,0,"5223F","5225F",17.878116970731753
8,0,"5225F","5227F",10.698749818727576
8,0,"5227F","5229F",21.117814887771292
8,1,"5230F","5228F",27.57363759298865
8,1,"5228F","5226F",15.252912012849986
8,1,"5226F","5224F",15.713771118933398
8,1,"5224F","5281G",15.779844315709282
8,1,"5281G","5282F",25.94824025532574
8,1,"5282F","5283F",20.42197957110837
8,1,"5283F","5284F",14.693055701428705
8,1,"5284F","5427",14.319915923946986
8,1,"5427","2014",18.689153804802196
8,1,"2014","2026",22.297755290331402
8,1,"2026","5430",21.07430058766642
8,1,"5430","5452",16.49547643871053
8,1,"5452","5453",18.546493538665164
8,1,"5453","5454F",20.17889261053996
8,1,"5454F","5455",18.32969454512036
8,1,"5455","5456",15.367344028283464
8,1,"5456","5451F",14.332135995049299
8,1,"5451F","5459F",17.034996643109164
8,1,"5459F","5460F",18.888388142122604
8,1,"5460F","5461F",18.284566957236905
8,1,"5461F","5462F",15.13675295015819
8,1,"5462F","5468",10.377752681011389
8,1,"5468","3481",7.190987013676233
8,1,"3481","5208",11.724420182604026
8,1,"5208","1046G",11.569691168087335
8,1,"1046G","5466",16.093987079279657
8,1,"5466","5467",15.36711579846384
