"LineID";"DirectionID";"DistanceFromPoint";"PointID";"Time";"Variance"
89;2788;38;1204;23:41:27;-1
89;1261;7;2303;23:41:27;1
89;1261;0;3347;23:41:27;1
89;3347;157;2776;23:41:27;0
89;3347;111;1820;08:33:56;0
89;3347;40;1894;08:33:56;0
89;1261;62;1257;08:33:56;1
89;1261;513;3226;08:33:56;1
89;1261;332;2783;08:33:56;1
89;1261;7;2303;08:33:56;1
89;1261;0;3347;08:33:56;1
89;3347;157;2776;08:33:56;0
89;3347;164;1820;17:21:19;0
89;3347;40;1894;17:21:19;0
89;1261;293;1257;17:21:19;1
89;1261;679;3226;17:21:19;1
89;1261;401;2783;17:21:19;1
89;2788;6;1206;17:21:19;-1
89;1261;106;2303;17:21:19;1
89;1261;0;3347;17:21:19;1
89;3347;262;2776;17:21:19;0
89;3347;247;1820;02:22:20;0
89;3347;36;1820;02:22:20;0
89;1261;0;2536;02:22:20;1
89;1261;554;4594;02:22:20;1
89;1261;50;2779;02:22:20;1
89;2788;159;1206;02:22:20;-1
89;1261;106;2303;02:22:20;1
89;1261;0;3347;02:22:20;1
89;3347;262;2776;02:22:20;0
89;3347;342;1820;11:04:35;0
89;3347;36;1820;11:04:35;0
89;1261;0;2536;11:04:35;1
89;1261;13;1117;11:04:35;1
89;1261;118;2779;11:04:35;1
89;2788;300;1206;11:04:35;-1
89;1261;106;2303;11:04:35;1
89;1261;0;3347;11:04:35;1
89;3347;262;2776;11:04:35;0
89;3347;42;2296;20:20:58;0
89;3347;36;1820;20:20:58;0
89;1261;168;2536;20:20:58;1
89;1261;46;1117;20:20:58;1
89;1261;245;2779;20:20:58;1
89;2788;15;1207;20:20:58;-1
89;1261;106;2303;20:20:58;1
89;1261;0;3347;20:20:58;1
89;3347;115;2784;20:20:58;0
89;3347;61;2296;04:42:44;0
89;3347;36;1820;04:42:44;0
89;1261;367;2536;04:42:44;1
89;1261;46;1117;04:42:44;1
89;1261;54;2768;04:42:44;1
89;2788;90;1207;04:42:44;-1
89;1261;106;2303;04:42:44;1
89;1261;0;3347;04:42:44;1
89;3347;232;2784;04:42:44;0
89;3347;61;2296;13:59:09;0
89;1261;40;1259;13:59:09;1
89;1261;46;1117;13:59:09;1
89;1261;267;2768;13:59:09;1
89;2788;292;1207;13:59:09;-1
89;1261;213;3320;13:59:09;1
89;1261;0;3347;13:59:09;1
89;3347;337;2784;13:59:09;0
89;3347;212;1203;22:55:01;0
89;3347;61;2296;22:55:01;0
89;3347;67;2296;22:55:01;0
89;1261;40;1259;22:55:01;1
89;1261;46;1117;22:55:01;1
89;1261;324;2768;22:55:01;1
89;2788;12;2748;22:55:01;-1
